City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,longyearbyen,78.2186,15.6401,138.92222222222222,57,75,8.23,SJ,1720099686
195,dakhla,23.6848,-15.958,145.07777777777775,86,10,9.14,EH,1720099688
196,mount isa,-20.7333,139.5,142.32777777777778,53,1,4.76,AU,1720099690
197,west lafayette,40.4259,-86.9081,147.47777777777776,97,100,2.51,US,1720099691
198,conduaga,8.862,117.4893,148.90555555555554,84,11,2.66,PH,1720099693
199,krosno odrzanskie,52.0549,15.0988,145.0111111111111,57,91,6.99,PL,1720099695
200,el estor,15.5333,-89.35,147.1222222222222,90,18,1.38,GT,1720099699
201,luau,-10.7073,22.2247,151.0,16,7,2.67,AO,1720099708
202,pisco,-13.7,-76.2167,142.8777777777778,94,100,2.57,PE,1720099710
203,labytnangi,66.6572,66.4183,148.58333333333334,58,23,7.68,RU,1720099712
204,solwezi,-12.1688,26.3894,148.55555555555554,25,19,2.74,ZM,1720099714
205,holualoa,19.6228,-155.9522,145.5611111111111,86,13,2.17,US,1720099716
206,enewetak,11.3474,162.3373,149.76666666666665,78,69,6.63,MH,1720099718
207,huarmey,-10.0681,-78.1522,144.10000000000002,86,59,2.57,PE,1720099720
208,tandalti,13.0167,31.8667,154.6888888888889,26,13,2.52,SD,1720099722
209,socorro,31.6546,-106.3033,149.74444444444444,45,77,3.44,US,1720099724
210,ghadamis,30.1337,9.5007,155.88333333333333,10,0,5.42,LY,1720099726
211,sandnessjoen,66.0217,12.6316,145.8,43,75,3.6,NO,1720099728
212,mazamari,-11.3258,-74.5308,146.91111111111113,78,75,0.24,PE,1720099731
213,pariaman,-0.619,100.12,150.10000000000002,85,27,0.89,ID,1720099733
214,carutapera,-1.195,-46.02,149.77777777777777,76,100,2.55,BR,1720099735
215,alice springs,-23.7,133.8833,134.94444444444446,93,5,0.0,AU,1720099737
216,weno,7.4515,151.8468,148.39999999999998,94,100,0.0,FM,1720099739
217,constitucion,-35.3333,-72.4167,137.65555555555554,65,94,5.86,CL,1720099741
218,atar,20.5169,-13.0499,158.3166666666667,6,9,11.54,MR,1720099743
219,vila velha,-20.3297,-40.2925,149.7,99,0,3.7,BR,1720099744
220,labrador city,52.9463,-66.9114,142.83333333333334,88,100,6.69,CA,1720099746
221,zambezi,-13.5432,23.1047,150.89999999999998,13,0,2.85,ZM,1720099750
222,funafuti,-8.5243,179.1942,150.08333333333334,84,75,7.2,TV,1720099752
223,sidrolandia,-20.9319,-54.9614,149.0,26,0,3.04,BR,1720099754
224,olonkinbyen,70.9221,-8.7187,136.06111111111113,96,61,6.55,SJ,1720099756
225,kodiak,57.79,-152.4072,138.82777777777775,89,44,2.2,US,1720099757
226,argo,37.6333,22.7333,149.28333333333333,53,100,3.21,GR,1720099759
227,mitsamiouli,-11.3847,43.2844,148.54444444444445,70,42,3.77,KM,1720099761
228,colonia,50.9333,6.95,146.13888888888889,59,40,6.69,DE,1720099763
229,lebu,-37.6167,-73.65,137.6277777777778,77,41,5.47,CL,1720099765
230,hirara,24.8,125.2833,150.0388888888889,89,23,2.57,JP,1720099767
231,cole harbour,44.6724,-63.4751,145.37222222222223,67,75,2.57,CA,1720099695
232,kununurra,-15.7667,128.7333,144.1277777777778,24,5,4.01,AU,1720099537
233,hit,33.6416,42.8251,157.70555555555555,10,0,7.0,IQ,1720099773
234,de aar,-30.6497,24.0123,141.04999999999998,28,0,4.73,ZA,1720099775
235,taltal,-25.4,-70.4833,141.91666666666666,71,20,0.97,CL,1720099777
236,qaqortoq,60.7167,-46.0333,136.09444444444446,86,42,4.11,GL,1720099779
237,buka,40.8108,69.1986,154.03333333333333,12,0,5.84,UZ,1720099781
238,gaiman,-43.2897,-65.4929,135.98333333333332,48,3,11.73,AR,1720099783
239,hammerfest,70.6634,23.6821,141.33333333333334,71,40,1.54,NO,1720099785
240,harper,4.375,-7.7169,148.61111111111111,66,68,2.5,LR,1720099786
241,vikulovo,56.8167,70.6107,147.02777777777777,71,100,2.4,RU,1720099788
242,hovd,48.0056,91.6419,146.39444444444445,27,98,0.47,MN,1720099612
243,tura,25.5198,90.2201,147.35000000000002,96,100,2.91,IN,1720099792
244,ghat,24.9647,10.1728,157.18333333333334,5,1,2.79,LY,1720099794
245,waslala,13.2333,-85.3833,146.80555555555554,91,100,0.84,NI,1720099796
246,atafu village,-8.5421,-172.5159,149.80555555555554,79,22,9.26,TK,1720099798
247,punta alta,-38.8759,-62.0736,137.1222222222222,47,0,9.52,AR,1720099800
248,nchelenge,-9.3451,28.734,148.45555555555558,43,24,3.99,ZM,1720099805
249,pocone,-16.2567,-56.6228,152.35000000000002,25,11,2.94,BR,1720099807
250,kralendijk,12.15,-68.2667,151.18888888888887,70,40,4.63,BQ,1720099809
251,sakakah,29.9697,40.2064,156.06111111111113,9,2,4.43,SA,1720099811
252,yemva,62.59,50.8594,147.9888888888889,41,53,4.71,RU,1720099813
253,sittwe,20.15,92.9,149.48888888888888,82,100,4.44,MM,1720099814
254,nouadhibou,20.931,-17.0347,146.7444444444444,73,3,8.23,MR,1720099819
255,rio grande city,26.3798,-98.8203,149.98333333333335,66,0,7.73,US,1720099810
256,mount pearl,47.5166,-52.7813,143.9888888888889,80,75,4.12,CA,1720099827
257,revda,56.801,59.9303,149.80555555555554,59,12,1.72,RU,1720099829
258,berezovyy,51.6667,135.7,145.13333333333333,95,84,1.5,RU,1720099831
259,nagqu,31.5,92.0,139.45,65,61,3.9,CN,1720099743
260,saint-francois,46.4154,3.9054,146.2111111111111,79,75,3.6,FR,1720099835
261,vernon,50.2581,-119.2691,142.08888888888887,69,0,5.14,CA,1720099837
262,rawson,-43.3002,-65.1023,136.86111111111111,48,4,13.67,AR,1720099839
263,bouna,9.2667,-3.0,146.25,97,100,1.95,CI,1720099840
264,fyodorovka,53.6314,62.7078,147.77222222222224,70,100,1.9,KZ,1720099842
265,buala,-8.145,159.5921,148.82777777777775,79,73,4.58,SB,1720099844
266,baikonur,45.6167,63.3167,152.0388888888889,16,0,7.32,KZ,1720099846
267,chechelnyk,48.8353,26.6484,143.32777777777778,91,100,4.87,UA,1720099848
268,hamilton,39.1834,-84.5333,148.21666666666667,95,100,1.34,US,1720099850
269,torrington,41.8007,-73.1212,146.6833333333333,80,99,0.89,US,1720099852
270,onega,63.9061,38.1404,145.3222222222222,55,84,2.05,RU,1720099854
271,korla,41.7597,86.1469,148.61111111111111,31,100,7.56,CN,1720099856
272,natal,-5.795,-35.2094,148.7388888888889,74,93,6.1,BR,1720099857
273,kot mumin,32.1895,73.028,155.48333333333332,37,2,5.6,PK,1720099859
274,jayapura,-2.5333,140.7,147.67222222222222,89,95,1.87,ID,1720099861
275,rongelap,11.1635,166.8941,149.64999999999998,78,100,5.81,MH,1720099863
276,harnosand,62.6323,17.9379,144.52777777777777,66,39,7.06,SE,1720099865
277,kimberley,-28.7323,24.7623,141.95,23,0,3.68,ZA,1720099867
278,saint-philippe,-21.3585,55.7679,147.1777777777778,75,63,6.54,RE,1720099869
279,berdigestyakh,62.0989,126.6992,140.44444444444446,57,42,3.11,RU,1720099871
280,qianzhou,28.3167,109.7167,148.35555555555555,89,100,1.2,CN,1720099872
281,juan griego,11.0817,-63.9655,149.5666666666667,94,46,6.17,VE,1720099874
282,pangoa,-12.1167,-73.0,147.8,66,82,0.24,PE,1720099876
283,iaciara,-14.0958,-46.6317,149.5666666666667,28,29,2.07,BR,1720099880
284,mont-laurier,46.5501,-75.4993,145.52222222222224,66,0,3.44,CA,1720099882
285,namibe,-15.1961,12.1522,146.16666666666666,61,52,5.26,AO,1720099883
286,bodaybo,57.8506,114.1933,145.5722222222222,85,25,2.47,RU,1720099885
287,nayoro,44.3506,142.4578,143.72777777777776,98,14,0.9,JP,1720099814
288,megion,61.0296,76.1136,147.31111111111113,51,4,1.71,RU,1720099889
289,cambria,35.5641,-121.0808,142.91666666666666,67,2,0.83,US,1720099891
290,kavaratti,10.5669,72.642,149.69444444444446,86,67,6.21,IN,1720099893
291,la'ie,21.6477,-157.9253,147.86111111111111,93,44,0.89,US,1720099895
292,axim,4.8699,-2.2405,149.20555555555555,72,78,4.64,GH,1720099897
293,la mira,18.035,-102.3266,148.52777777777777,75,43,1.61,MX,1720099899
294,embi,48.8264,58.1442,150.85555555555555,35,11,4.8,KZ,1720099901
295,piet retief,-27.0071,30.8132,144.89444444444445,12,0,3.55,ZA,1720099903
296,khemisset,33.6667,-6.25,155.27777777777777,20,0,3.72,MA,1720099904
297,tibanbang,6.6315,126.1055,149.14444444444445,78,100,1.07,PH,1720099906
298,undurkhaan,47.3194,110.6556,146.7111111111111,40,3,1.84,MN,1720099612
299,tralee,52.2704,-9.7026,141.82777777777778,82,100,8.23,IE,1720099910
300,al hazm,16.1641,44.7769,153.58333333333334,19,37,6.26,YE,1720099912
301,zvishavane,-20.3267,30.0665,149.17777777777778,14,0,4.68,ZW,1720099914
302,khandyga,62.6667,135.6,139.5388888888889,71,5,2.25,RU,1720099916
303,youghal,51.95,-7.8506,142.61666666666667,75,95,9.45,IE,1720099917
304,bontang,0.1333,117.5,148.82222222222222,80,38,1.59,ID,1720099919
305,okhotsk,59.3833,143.3,139.79444444444445,87,100,3.16,RU,1720099921
306,deschutes river woods,43.9915,-121.3584,141.81666666666666,30,0,1.31,US,1720099923
307,sidi bennour,32.6524,-8.4277,151.85,34,0,6.75,MA,1720099925
308,al kharijah,25.4514,30.5464,157.4611111111111,7,3,5.38,EG,1720099927
309,katsuren-haebaru,26.3369,127.8719,150.3222222222222,80,0,3.6,JP,1720099929
310,gilroy,37.0058,-121.5683,146.77222222222224,49,0,0.57,US,1720099931
311,vorgashor,67.5833,63.95,146.6888888888889,57,3,9.08,RU,1720099933
312,bomdila,27.25,92.4,143.08888888888887,100,100,1.38,IN,1720099935
313,ulanhot,46.0833,122.0833,145.2277777777778,79,100,2.09,CN,1720099937
314,chato,-2.6378,31.7669,149.9111111111111,36,90,4.94,TZ,1720099812
315,kostomuksha,64.571,30.5767,145.13333333333333,53,98,3.38,RU,1720099951
316,chengde,40.9725,117.9361,145.35555555555553,66,13,0.92,CN,1720099909
317,santa ana,33.7456,-117.8678,144.6777777777778,91,0,0.45,US,1720099955
318,bartica,6.4,-58.6167,148.51666666666665,62,20,2.54,GY,1720099957
319,susuman,62.7833,148.1667,141.32777777777775,85,78,2.58,RU,1720099959
320,parabel',58.6978,81.4825,141.27222222222224,96,100,4.44,RU,1720099961
321,queenstown,-31.8976,26.8753,141.02777777777777,31,0,7.34,ZA,1720099809
322,juigalpa,12.1063,-85.3645,147.27777777777777,83,40,0.0,NI,1720099965
323,hun,29.1268,15.9477,154.32777777777778,20,0,3.84,LY,1720099966
324,arteche,12.2645,125.4048,148.75,85,100,0.95,PH,1720099968
325,amuntai,-2.4177,115.2494,147.07777777777778,97,33,0.6,ID,1720099970
326,antsiranana,-12.2787,49.2917,147.75,69,76,7.09,MG,1720099972
327,melekhovo,56.2773,41.2935,151.46666666666664,37,56,2.79,RU,1720099974
328,yinchuan,38.4681,106.2731,149.59444444444443,27,100,4.83,CN,1720099893
329,czarne,53.6842,16.9383,143.9777777777778,57,100,4.43,PL,1720099978
330,acarau,-2.8856,-40.12,150.26666666666668,57,66,6.8,BR,1720099980
331,boende,-0.2167,20.8667,151.0388888888889,50,99,2.32,CD,1720099982
332,tsiombe,-25.3,45.4833,146.77777777777777,54,66,1.73,MG,1720099984
333,fort mcmurray,56.7268,-111.381,141.0666666666667,94,0,0.51,CA,1720099986
